id,pair,source_filter,blocked_direction,flip_direction,entry_price,pnl_pct,peak_pct,trough_pct,exit_reason,is_paper,entry_at,exit_at,entry_cohort,entry_gap,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_adx_delta,entry_pos_di,entry_neg_di,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_atr_pct,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_range_position,entry_btc_adx,entry_btc_rsi,entry_btc_ema20_slope,entry_btc_1h_slope,entry_btc_dist_from_ema13_pct,entry_macro_trend,entry_btc_regime,entry_ema20_slope,entry_ema50_slope,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_pair_volume_24h_usd,entry_pair_rank,entry_quality_score,entry_btc_adx_prev,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev
80,1000BONKUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,0.004279,-0.7,0.0234,-0.7011,sl,True,2026-07-07T12:05:30.002743,2026-07-07T12:07:51.295599,,0.0703,59.13,53.06,20.2798,21.3296,-1.0498,21.461966733398615,18.79193491640119,0.0755,0.0284,0.1849,0.1852,0.3106,-0.4647,0.2894,72.5,20.1338,65.7,0.0695,0.0227,0.2694,BULLISH,HEALTHY_BULL,0.0617,-0.3592,0.6455,0.6757,80.5,17.1,130169891.406492,23,0,19.0357,61.8,40.3,0.1369,53.5,51.6
79,ONDOUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,0.3314,-0.7,0.0905,-0.7242,sl,True,2026-07-07T11:51:07.931112,2026-07-07T12:05:36.737545,,0.065,59.66,48.54,18.5665,18.9748,-0.4084,25.602472625304163,19.608506176749504,0.074,0.024,0.2081,0.2085,0.2431,-0.1143,0.3067,65.2,18.5147,66.6,0.0655,-0.0096,0.2698,BULLISH,HEALTHY_BULL,0.0503,-0.1604,0.6224,1.2065,73.2,19.5,44839436.46028,45,0,17.943,64.9,45.8,0.1281,52.3,48.9
78,XLMUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,0.1949,0.6619,0.7491,-0.0564,horizon,True,2026-07-07T10:08:07.176026,2026-07-07T10:53:07.344758,,0.0953,57.64,47.78,28.6121,29.8013,-1.1892,23.372134829926697,17.938766954389507,0.0687,0.0443,0.1091,0.1092,0.2473,-0.2572,0.2224,81.1,20.4739,64.4,0.0672,-0.0528,0.1805,BULLISH,HEALTHY_BULL,0.0538,-0.2025,0.7683,0.763,80.5,12.2,87964417.11195,30,1,18.3811,70.2,56.8,0.1278,50.9,48.3
76,TAOUSDT,PASS:LONG_UNMATCHED_ONLY,LONG,LONG,213.86,0.4,0.65,-0.159,trail,True,2026-07-07T10:08:07.175271,2026-07-07T10:45:15.578721,C4,0.276,61.81,61.78,20.7617,19.8073,0.9544,21.717634840990037,10.89914693686109,0.0824,0.105,0.0667,0.0668,0.3024,0.2707,0.2544,84.2,20.4739,64.4,0.0672,-0.0528,0.1805,BULLISH,HEALTHY_BULL,0.125,0.1867,0.7683,1.3067,80.5,12.2,88782723.01,29,5,18.3811,70.2,56.8,0.1278,50.9,48.3
77,TAOUSDT,LONG_UNMATCHED_ONLY,LONG,SHORT,213.86,-0.1216,0.159,-0.65,horizon,True,2026-07-07T10:08:07.175252,2026-07-07T10:53:07.341230,C4,0.276,61.81,61.78,20.7617,19.8073,0.9544,21.717634840990037,10.89914693686109,0.0824,0.105,0.0667,0.0668,0.3024,0.2707,0.2544,84.2,20.4739,64.4,0.0672,-0.0528,0.1805,BULLISH,HEALTHY_BULL,0.125,0.1867,0.7683,1.3067,80.5,12.2,88782723.01,29,5,18.3811,70.2,56.8,0.1278,50.9,48.3
75,TAOUSDT,PASS:LONG_BTC1H_DEADBAND,LONG,LONG,214.0,0.3341,0.5841,-0.2243,trail,True,2026-07-07T10:07:00.618519,2026-07-07T10:45:15.575951,,0.2914,64.28,61.78,20.7617,19.8073,0.9544,22.108324280985915,11.095217164782877,0.0896,0.1102,0.1103,0.1104,0.2968,0.2776,0.3106,88.9,20.4739,69.0,0.0729,-0.048,0.2324,BULLISH,HEALTHY_BULL,0.1312,0.1893,,,,,,,4,18.3811,70.2,56.8,0.1255,51.5,48.3
74,LITUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,2.5671,-0.7,0.3389,-0.7401,sl,True,2026-07-07T10:07:00.586687,2026-07-07T10:09:10.353178,,0.366,54.21,56.65,29.0791,31.1292,-2.0501,22.165931593104855,21.1153969247477,0.2593,0.1672,0.1343,0.1345,0.9198,-0.5648,0.5621,81.8,20.4739,69.0,0.0729,-0.048,0.2324,BULLISH,HEALTHY_BULL,0.2548,-0.5782,0.7275,0.5968,80.5,14.6,183503175.26754,17,3,18.3811,70.2,56.8,0.1255,51.5,48.3
72,NEARUSDT,PASS:LONG_UNMATCHED_ONLY,LONG,LONG,2.022,0.2446,0.4946,-0.0989,trail,True,2026-07-07T07:02:42.225833,2026-07-07T07:34:33.772456,W6,0.3556,62.76,62.84,23.7325,24.2356,-0.5031,21.861265230604822,15.447026869510527,0.1185,0.144,0.1763,0.1766,0.3682,-0.17,0.4398,97.4,23.1563,66.3,0.0822,-0.0683,0.2171,BULLISH,HEALTHY_BULL,0.165,-0.1243,0.8023,0.8745,85.0,10.0,182751218.087,17,5,23.0714,63.1,58.4,0.1517,49.7,49.0
73,NEARUSDT,LONG_UNMATCHED_ONLY,LONG,SHORT,2.022,-0.7,0.1484,-0.7418,sl,True,2026-07-07T07:02:42.225811,2026-07-07T07:46:23.737459,W6,0.3556,62.76,62.84,23.7325,24.2356,-0.5031,21.861265230604822,15.447026869510527,0.1185,0.144,0.1763,0.1766,0.3682,-0.17,0.4398,97.4,23.1563,66.3,0.0822,-0.0683,0.2171,BULLISH,HEALTHY_BULL,0.165,-0.1243,0.8023,0.8745,85.0,10.0,182751218.087,17,5,23.0714,63.1,58.4,0.1517,49.7,49.0
61,BLURUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,0.02048,0.3848,0.6348,-0.1465,trail,True,2026-07-07T06:58:38.645328,2026-07-07T07:00:46.876308,,0.3459,56.55,48.8,15.5035,16.3798,-0.8763,19.428164762877014,17.893685216998744,0.0678,0.0795,0.6253,0.6292,1.6285,0.7622,0.7776,69.5,22.9886,64.8,0.0799,-0.1198,0.1926,BULLISH,HEALTHY_BULL,0.1242,0.4997,0.8021,0.6626,87.5,10.0,173387434.28133,18,2,22.3958,67.6,53.0,0.1479,49.2,44.8
